Levels: 8
Bits : 3

 Index      Encoded    Quantized        Error
     2          001     0.350000    -0.037000
     3          010     0.450000     0.020000
     3          010     0.450000    -0.028000
     4          011     0.550000     0.019000
     4          011     0.550000    -0.040000
     5          100     0.650000    -0.006100
     6          101     0.750000     0.021000
     7          110     0.850000     0.040000
     7          110     0.850000    -0.050000
     8          111     0.950000    -0.050000
     1          000     0.250000     0.050000
