IDFT Results
========================================
 Index            Amplitude
     0         0.2776562500
     1        -2.8611437500
     2        -2.3017437500
     3         1.1827562500
     4         2.7768562500
     5         0.2776562500
     6        -2.8611437500
     7        -2.3017437500
     8         1.1827562500
     9         2.7768562500
    10         1.1827562500
    11         2.7768562500
    12         0.2776562500
    13        -2.8611437500
    14        -2.3017437500
    15         2.7768562500
