Levels: 8
Bits : 3

 Index      Encoded    Quantized        Error
     2          001     0.381250     0.031250
     3          010     0.468750     0.018750
     3          010     0.468750     0.018750
     4          011     0.556250     0.006250
     4          011     0.556250     0.006250
     5          100     0.643750    -0.006250
     6          101     0.731250    -0.018750
     7          110     0.818750    -0.031250
     7          110     0.818750    -0.031250
     8          111     0.906250    -0.043750
     1          000     0.293750     0.043750
